season,bss,brier,n,bss_R,bss_F
2022,1876.5740667382236,0.2444878682958517,247472,642.1786743433522,-4996.992059996553
2023,-1230.0087455874298,0.25307502001258486,245525,667.8566094081573,-17852.46161427525
2024,629.376207261656,0.2482347013956892,253507,752.0409596881939,-616.453419998475
