candidate,weight,season,gain_bss,paired_2se_bss
lgb,0.1,2022,3.295144435951122,1.695808650434734
lgb,0.1,2023,9.773073486957102,1.7248626145096573
lgb,0.1,2024,2.2228010590264047,1.7222706375203114
lgb,0.25,2022,6.497553850081179,4.238753739576197
lgb,0.25,2023,22.749131032466174,4.3104935683012435
lgb,0.25,2024,3.784636666196348,4.305253672660904
lgb,0.5,2022,7.194083567507295,8.475682360760171
lgb,0.5,2023,39.88641978184341,8.615980073852961
lgb,0.5,2024,1.6613867278274161,8.609652051471793
cat,0.1,2022,2.5124568804055887,1.9669260351334217
cat,0.1,2023,10.563878170186044,1.8104127384882416
cat,0.1,2024,2.399319826199987,1.77373635700559
cat,0.25,2022,3.9512811932323957,4.9162899685919985
cat,0.25,2023,24.570053072166324,4.523132259937757
cat,0.25,2024,4.11669028430994,4.433809466883153
cat,0.5,2022,0.1363590271932226,9.83042143786404
cat,0.5,2023,43.007964966669626,9.037402574231953
cat,0.5,2024,1.9613496313199454,8.86658163496787
lgb_cat_mean,0.1,2022,2.9885168774211013,1.6835597988708615
lgb_cat_mean,0.1,2023,10.226923811814533,1.6530885411794636
lgb_cat_mean,0.1,2024,2.3727361073569555,1.6336589178709187
lgb_cat_mean,0.25,2022,5.75389389192393,4.208116800142203
lgb_cat_mean,0.25,2023,24.02489194758447,4.130896954174445
lgb_cat_mean,0.25,2024,4.336136379901684,4.083781679725676
lgb_cat_mean,0.5,2022,5.783126778418821,8.414394764798836
lgb_cat_mean,0.5,2023,42.90839195532922,8.256227884959678
lgb_cat_mean,0.5,2024,3.353259798167851,8.166841776822329
residual,0.1,2022,-0.3032530830838218,2.1707123689013668
residual,0.1,2023,0.6063532339312018,1.335333942675477
residual,0.1,2024,-4.697159740489588,4.303978479182925
residual,0.25,2022,-3.734583595996296,5.427950712807458
residual,0.25,2023,0.5008113656901854,3.338326607279377
residual,0.25,2024,-22.77174058834961,10.770626811404249
residual,0.5,2022,-17.390670152948363,10.861838015683254
residual,0.5,2023,-2.3819496657456,6.676863728197064
residual,0.5,2024,-82.30628530045148,21.59921679510657
