candidate,weight,seed,season,group,n,champion_brier,candidate_brier,gain,target_mean,prediction_mean,prediction_std,logloss,auc,outside_max_abs_diff
lgb,0.1,42,2022,all,247472,0.24313201729617934,0.2431244507344184,7.566561760929957e-06,0.5289204435249241,0.5251495025217882,0.07766299079094986,0.6790443425904843,0.5809344055504293,0.0
lgb,0.1,42,2022,slice,59575,0.2446615883773926,0.24463015720371087,3.143117368173409e-05,0.5264288711707931,0.5228160160240426,0.0720152025316567,0.6821587030560581,0.5688641945900564,0.0
lgb,0.1,42,2022,outside,187897,0.24264704841874501,0.24264704841874501,0.0,0.5297104264570482,0.5258893624349491,0.07935549695058111,0.678056897209576,0.5846405263550047,0.0
lgb,0.1,42,2022,R,217024,0.24828303927859774,0.24827548948708314,7.5497915145994465e-06,0.5036908360365674,0.500251236214192,0.04095853586944079,0.689686289350976,0.5469520263441027,0.0
lgb,0.1,42,2022,F,30448,0.20641711337104868,0.2064094272761187,7.686094929987286e-06,0.7087493431424067,0.7026167038860727,0.033938831093429336,0.6031918119234806,0.5244803717837938,0.0
lgb,0.1,42,2022,0-2,15595,0.24553331305874085,0.24551410101485047,1.9212043890382002e-05,0.5218339211285669,0.5231656129638709,0.07047577361658888,0.6839721448913075,0.5605392354685748,0.0
lgb,0.1,42,2022,1-2,23740,0.24545244465670835,0.24540500951721408,4.743513949426181e-05,0.5291491154170177,0.5231107683215714,0.07071287929104836,0.6837822366379306,0.5628901012402708,0.0
lgb,0.1,42,2022,2-2,20240,0.24306230604159304,0.24304023143012946,2.2074611463585025e-05,0.5267786561264822,0.522200927890645,0.07465018235545579,0.6788571559881547,0.58193751848549,0.0
lgb,0.25,42,2022,all,247472,0.24313201729617934,0.24311784086075014,1.4176435429197332e-05,0.5289204435249241,0.5252631716592939,0.07733456833381648,0.6790304455660151,0.5809800243911654,0.0
lgb,0.25,42,2022,slice,59575,0.2446615883773926,0.24460270007141643,5.888830597616801e-05,0.5264288711707931,0.5232881927558398,0.07054621105489042,0.6821009754112496,0.5690536000482794,0.0
lgb,0.25,42,2022,outside,187897,0.24264704841874501,0.24264704841874501,0.0,0.5297104264570482,0.5258893624349491,0.07935549695058111,0.678056897209576,0.5846405263550047,0.0
lgb,0.25,42,2022,R,217024,0.24828303927859774,0.2482681436419908,1.4895636606948592e-05,0.5036908360365674,0.5004972149123609,0.040900517071622726,0.689671396020939,0.5470062421141738,0.0
lgb,0.25,42,2022,F,30448,0.20641711337104868,0.2064080631809033,9.050190145382109e-06,0.7087493431424067,0.7017873110788425,0.03395041758409664,0.6031850162593474,0.5247853963997972,0.0
lgb,0.25,42,2022,0-2,15595,0.24553331305874085,0.24550498684602748,2.832621271336988e-05,0.5218339211285669,0.5235769876307691,0.06897452224918436,0.6839553376504437,0.560758119633585,0.0
lgb,0.25,42,2022,1-2,23740,0.24545244465670835,0.24535288693648688,9.955772022146592e-05,0.5291491154170177,0.5234512358185752,0.06931753080738047,0.6836670714580273,0.5630765730123158,0.0
lgb,0.25,42,2022,2-2,20240,0.24306230604159304,0.24302757169064407,3.4734350948972814e-05,0.5267786561264822,0.5228744378949773,0.07312335055124337,0.6788352689255411,0.5821022158538065,0.0
lgb,0.5,42,2022,all,247472,0.24313201729617934,0.24311946432189765,1.2552974281682117e-05,0.5289204435249241,0.5254526202218036,0.07686596658728449,0.6790339943803625,0.5809538754827879,0.0
lgb,0.5,42,2022,slice,59575,0.2446615883773926,0.24460944385953406,5.21445178585378e-05,0.5264288711707931,0.5240751539755024,0.0684050205829043,0.6821157170341489,0.5690332568381165,0.0
lgb,0.5,42,2022,outside,187897,0.24264704841874501,0.24264704841874501,0.0,0.5297104264570482,0.5258893624349491,0.07935549695058111,0.678056897209576,0.5846405263550047,0.0
lgb,0.5,42,2022,R,217024,0.24828303927859774,0.24826651081264894,1.65284659487952e-05,0.5036908360365674,0.5009071794093087,0.04093016030646031,0.6896680278990699,0.5469688824182797,0.0
lgb,0.5,42,2022,F,30448,0.20641711337104868,0.20643289648135654,-1.578311030786539e-05,0.7087493431424067,0.7004049897334592,0.03432187850104789,0.6032378668723511,0.5250005486712124,0.0
lgb,0.5,42,2022,0-2,15595,0.24553331305874085,0.2455423402900231,-9.027231282238146e-06,0.5218339211285669,0.5242626120755993,0.06678592468882187,0.6840369279877668,0.5608336242066541,0.0
lgb,0.5,42,2022,1-2,23740,0.24545244465670835,0.24531676297797947,0.00013568167872887726,0.5291491154170177,0.5240186816469149,0.06730155912738887,0.6835841663039246,0.5630422255727889,0.0
lgb,0.5,42,2022,2-2,20240,0.24306230604159304,0.24306101126539534,1.294776197702241e-06,0.5267786561264822,0.5239969545688646,0.07087669045651854,0.678913035686019,0.5820424042404123,0.0
cat,0.1,42,2022,all,247472,0.24313201729617934,0.24312689830985293,5.118986326407837e-06,0.5289204435249241,0.5251778225668388,0.07762192366411974,0.6790496651264154,0.5808915431135349,0.0
cat,0.1,42,2022,slice,59575,0.2446615883773926,0.24464032432730157,2.126405009103549e-05,0.5264288711707931,0.5229336562789944,0.07183479442134726,0.6821808126424936,0.5686769534233591,0.0
cat,0.1,42,2022,outside,187897,0.24264704841874501,0.24264704841874501,0.0,0.5297104264570482,0.5258893624349491,0.07935549695058111,0.678056897209576,0.5846405263550047,0.0
cat,0.1,42,2022,R,217024,0.24828303927859774,0.24827685607402986,6.183204567883349e-06,0.5036908360365674,0.5002957304853427,0.04094222535085349,0.6896889764412145,0.5468984394058938,0.0
