seed,season,residual_train_rows,corr_champion_lgb,corr_champion_cat,corr_lgb_cat,lgb_residual_corr,cat_residual_corr
42,2022,113850,0.9522458021215058,0.9282913436262312,0.9413362343917197,0.9989475920395087,0.9984770442263173
42,2023,173425,0.9432001173347898,0.9380381924262146,0.9475178103749378,0.9990729115089795,0.9990082753463967
42,2024,231787,0.883570813666625,0.8638959874381171,0.8790948264405372,0.9992211561938303,0.9990642959284388
43,2022,113850,0.9528015162158165,0.9341591807419971,0.9432057926158935,0.998951864682088,0.998600136991826
43,2023,173425,0.9438574425921711,0.933278807896146,0.9467170524280958,0.9990836180266006,0.9989289595075438
43,2024,231787,0.888638167675332,0.8687531194793253,0.8840529487218641,0.9992450256531223,0.9991029521204101
44,2022,113850,0.9499567597638818,0.9263112589060094,0.9340155286459539,0.9988800920850256,0.9984451522150708
44,2023,173425,0.9458461145177489,0.9336899667437552,0.943627795114205,0.9991250679192214,0.998937545558414
44,2024,231787,0.8799552677237401,0.8741409766114776,0.8907320825619147,0.999197225243825,0.9991315363729447
