season,error_band,rows,row_share,mean_brier,brier_contribution,target_mean,prediction_mean,calibration_bias_y_minus_p,mean_absolute_error
2022,top_1pct,2475,0.010001131441132734,0.5492457867960344,0.022592990295243306,0.0,0.7409980413955727,-0.7409980413955727,0.7409980413955727
2022,top_5pct,12374,0.050001616344475336,0.45376363417279125,0.09331932256105749,0.1815096169387425,0.6356275677782212,-0.4541179508394786,0.6712969428009772
2022,top_10pct,24748,0.10000323268895067,0.3882801569289489,0.15970447378210495,0.3031760142233716,0.5729155376013501,-0.2697395233779785,0.6197030782506935
2022,top_20pct,49495,0.200002424516713,0.3420594984860018,0.2813809953414406,0.4002020406101626,0.5366708731341574,-0.13646883252399478,0.5817845581801815
2022,middle_60pct,148482,0.599995150966574,0.24355324396615372,0.601034643676144,0.5044517180533667,0.4998006212598822,0.0046510967934845,0.4930102070637502
2022,bottom_20pct,49495,0.200002424516713,0.14294088162790147,0.11758436098241522,0.7310435397514901,0.5892943467122427,0.1417491930392475,0.37135873664332436
2022,all,247472,1.0,0.2431320172961793,1.0,0.5289204435249241,0.5250737230967842,0.0038467204281397403,0.48643470349182616
2023,top_1pct,2456,0.010003054678749618,0.5071798565274569,0.020104643773166044,0.0,0.7120742572970274,-0.7120742572970274,0.7120742572970274
2023,top_5pct,12277,0.05000305467874962,0.4541140904117843,0.08998357776804246,0.03926040563655616,0.6622318258738434,-0.6229714202372874,0.6733618985317132
2023,top_10pct,24553,0.10000203645249975,0.40028904937557547,0.15862962465462405,0.2952388710137254,0.5783353210557676,-0.2830964500420422,0.6308672194506142
2023,top_20pct,49105,0.2,0.3517965500030763,0.27881960969171127,0.4628245596171469,0.5324345702608543,-0.06961001064370739,0.5907683991258769
2023,middle_60pct,147315,0.6,0.24749986833758408,0.588474929797052,0.5050470081118691,0.49781049332414473,0.007236514787724285,0.4970115316414137
2023,bottom_20pct,49105,0.2,0.1674391669439685,0.1327054605112368,0.5218205885347724,0.5271705157086192,-0.005349927173846697,0.406068190993421
2023,all,245525,1.0,0.2523470643919594,1.0,0.49995723449750534,0.5106073131883816,-0.010650078690876244,0.4975742370087078
2024,top_1pct,2536,0.010003668537752409,0.3778845537066785,0.01526412211681968,0.7882492113564669,0.43137777548638995,0.3568714358700769,0.6145997163531226
2024,top_5pct,12676,0.05000256403176244,0.3481085800813039,0.07028463612140286,0.6347428210792048,0.47345045624102455,0.16129236483818027,0.5898083666067687
2024,top_10pct,25351,0.10000118339927497,0.3323860148672129,0.13421506939422614,0.6415920476509802,0.4775183073099114,0.16407374034106878,0.5762572034581016
2024,top_20pct,50702,0.20000236679854994,0.3136944966083506,0.2533351389509961,0.6438010334898031,0.4824498231089077,0.16135121038089542,0.5596830561904714
2024,middle_60pct,152103,0.5999952664029001,0.24600583973264742,0.5960005204215681,0.47740675726317033,0.49553404710002574,-0.018127289836855437,0.4955439889877053
2024,bottom_20pct,50702,0.20000236679854994,0.18656146433398946,0.15066434062743572,0.3545027809553864,0.4795320822449569,-0.12502930128957052,0.43145609354301395
2024,all,253507,1.0,0.24765471554060992,1.0,0.4861049201797189,0.4897167404896388,-0.0036118203099199148,0.4955542234604335
