axis,value,candidate,rows_2022,coverage_2022,brier_gain_2022,bss_gain_2022,rows_2024,coverage_2024,brier_gain_2024,bss_gain_2024,prediction_delta_2022,prediction_delta_2024
game_type,R,two_strike,217024,0.8769638585375316,1.6088705882849608e-05,6.457084971379794,223497,0.8816206258604299,4.390728413183886e-06,1.7576487850790061,0.0004862046215408397,0.0007501437655676091
count_family,S=B,two_strike,109549,0.4426723023210707,9.930538593133642e-06,3.9855493645255846,111270,0.4389227910866367,5.917904972452259e-07,0.236899154450346,0.0002339857614533913,0.0006367426265212478
pitcher_history,500+,two_strike,215206,0.8696175728971358,1.7471489842879606e-05,7.01205524630369,221470,0.8736247914258778,1.0548833227819188e-05,4.222794525665628,0.00035092336072793743,0.0007259938410074699
batter_history,500+,two_strike,217291,0.8780427684748173,2.0117102471878257e-05,8.073852613425057,229481,0.9052254967318457,9.09289577308292e-06,3.63996943204692,0.00030945655436022683,0.000731061841885156
hand_combo_audit,2-2,two_strike,91141,0.36828812956617313,1.953758584236076e-05,7.841267833370683,92409,0.36452247866922804,2.6504386862913343e-05,10.609948734014896,0.00042123230321659556,0.0009772730657874869
inning_phase,1-3,two_strike,83348,0.33679769832546713,1.6462821551072038e-05,6.607233571051311,85260,0.336322073946676,1.8512345142468467e-05,7.4106612586015626,0.0002230756421560698,0.0006865632909589589
inning_phase,7+,two_strike,81573,0.3296251697161699,1.391526689806244e-05,5.5847910586767,83196,0.32818028693487755,9.25641326979254e-06,3.705426983137495,0.00038100609540065144,0.0008731256211128088
base_out_state,___|1,two_strike,41246,0.16666936057412557,3.7531313024613544e-05,15.062919233654325,40702,0.16055572429952625,4.6694195543484085e-06,1.8692114005687903,0.00030896358887621167,0.0007160513214096774
matchup_history,1-19,two_strike,60499,0.2444680610331674,3.473450374655296e-05,13.940440192227411,64134,0.25298709700323857,1.030088488568337e-05,4.1235385341065065,0.0004527513998615672,0.0007303568150988216
matchup_history,unseen,two_strike,125855,0.5085625848580849,5.057038971301164e-06,2.0296057730832917,123816,0.4884125487659118,9.019393726550362e-06,3.6105458898390133,5.620436354185973e-05,0.0007680525483104228
