season,target_bss_gain,required_overall_brier_gain
2022,10,2.4916360794632167e-05
2022,20,4.9832721589264334e-05
2022,40,9.966544317852867e-05
2024,10,2.49806926756788e-05
2024,20,4.99613853513576e-05
2024,40,9.99227707027152e-05
