season,candidate_a,candidate_b,positive_row_jaccard,positive_row_overlap_share,gain_correlation
2022,cat,team,0.0,0.0,-0.9995843853998073
2022,cat,hgb,0.44623473238076505,0.30249482769767894,0.3480759649475586
2022,cat,nn,0.43233264702622937,0.2995207538630633,0.27846300840358723
2022,cat,team_nn,0.43403872655501835,0.3003572121290489,0.2819903040342161
2022,cat,ft_transformer,0.46447936825581326,0.31325968190340725,0.38517691731049153
2022,cat,tabm,0.5705275229357798,0.3699004331803194,0.4047179915526202
2022,cat,xgb_hist,0.46291515573593334,0.3115706019266826,0.37701626436923646
2022,cat,hard_weight,0.3414706120606853,0.23847142302967608,0.1617439834615231
2022,cat,uncertainty_0p5,0.14824975208296648,0.12927523113725997,-0.6831630128103526
2022,cat,role_state,0.21235582084847768,0.1742338527186914,-0.41295832188422643
2022,cat,groupdro,0.5551424257926061,0.3595800737053081,0.5132937187651747
2022,cat,lupi_aux,0.4471621539766188,0.29830445464537403,0.3571976137297984
2022,cat,lupi_distill,0.46643613310279974,0.3106816124652486,0.382519919662169
2022,cat,two_strike,0.14687723898230157,0.07786739509924355,0.21527461750509
2022,team,hgb,0.22988700452380478,0.18645341695222087,-0.34766947120997077
2022,team,nn,0.2491949194919492,0.20137227645955907,-0.27799337827015486
2022,team,team_nn,0.2479531637918546,0.20057622680545678,-0.28151762191986984
2022,team,ft_transformer,0.22267676271019765,0.18300252149738153,-0.3845333926648829
2022,team,tabm,0.1786271199694568,0.1569187625266697,-0.40399721433098107
2022,team,xgb_hist,0.22146510184172408,0.18163266955453547,-0.376697748108823
2022,team,hard_weight,0.27700787571941665,0.20693654231589836,-0.1617187287837258
2022,team,uncertainty_0p5,0.5966651673434739,0.38058042930109265,0.6833095295680125
2022,team,role_state,0.48191152537357596,0.32905136742742613,0.41299257046209137
2022,team,groupdro,0.18003379211796522,0.15629646990366586,-0.5127208727727873
2022,team,lupi_aux,0.21772444773862049,0.17567644016292752,-0.3567005340459142
2022,team,lupi_distill,0.21317733868660663,0.17464602055990172,-0.38210742618725124
2022,team,two_strike,0.0660318204055758,0.03872357276782828,-0.21555087678687848
2022,hgb,nn,0.4428645477463893,0.30381618930626497,0.36323555844174493
2022,hgb,team_nn,0.44850341181896664,0.30649932113532036,0.37575091922634063
2022,hgb,ft_transformer,0.5355721267697889,0.3436186720113791,0.6634699841445876
2022,hgb,tabm,0.4980929223581015,0.3377270963987845,0.4763583302230798
2022,hgb,xgb_hist,0.4959348092345378,0.3256045128337751,0.49610830213230656
2022,hgb,hard_weight,0.37825449430165464,0.2564290101506433,0.20389457057872964
2022,hgb,uncertainty_0p5,0.2617200261352499,0.20718303484838688,-0.2780236006125287
2022,hgb,role_state,0.2933145827737134,0.22503151871726904,-0.11206544197886405
2022,hgb,groupdro,0.47375969750309666,0.32301432081205145,0.44810008493498843
2022,hgb,lupi_aux,0.4974769532403713,0.3198947759746557,0.5176310564513417
2022,hgb,lupi_distill,0.6614021306211325,0.38785802030128663,0.8378916820137047
2022,hgb,two_strike,0.1284271718913546,0.0689168875670783,0.1381937422620477
2022,nn,team_nn,0.871152772117315,0.466420443524924,0.9797671784120884
2022,nn,ft_transformer,0.4506548780774567,0.30977241869787286,0.37301934446357765
2022,nn,tabm,0.5093231101563149,0.3468028706277882,0.43300368715428617
2022,nn,xgb_hist,0.41238711455325205,0.2902550591582078,0.2667729160318015
2022,nn,hard_weight,0.3309103928800787,0.2352831835520786,0.06621172306690051
2022,nn,uncertainty_0p5,0.27084741112573224,0.21541426908902825,-0.22150000808976586
2022,nn,role_state,0.3105543220879764,0.23795419279756902,-0.08464880154092691
2022,nn,groupdro,0.5220207959061463,0.3487303614146247,0.5220331122735475
2022,nn,lupi_aux,0.4460201390553824,0.3006966444688692,0.36395748521787163
2022,nn,lupi_distill,0.4325241236822952,0.29777106096851363,0.340491414672882
2022,nn,two_strike,0.12438008623607494,0.06830671752763949,0.11664085815146107
2022,team_nn,ft_transformer,0.45510186031427813,0.31188578909937287,0.38421805163368633
2022,team_nn,tabm,0.5149295069956936,0.34933649059287514,0.44194284090757985
2022,team_nn,xgb_hist,0.4124364170809843,0.2902914269089028,0.26524874699405426
2022,team_nn,hard_weight,0.3336655258227459,0.23676213874700977,0.07102140798254973
2022,team_nn,uncertainty_0p5,0.26811487668246686,0.21370902566755026,-0.2250242084357968
2022,team_nn,role_state,0.3076623554297381,0.23626915368203272,-0.09109024153932048
