season,error_type,rows,row_share,mean_brier,brier_contribution_per_all_rows,share_of_total_brier,overlapping_classes
2022,CALIBRATION_LIKE,62415,0.25221035107002004,0.24883431049122995,0.06275858880725947,0.25812556283283755,True
2022,DISCRIMINATION_LIKE,38235,0.15450232753604448,0.35207251892519315,0.05439602363542041,0.22373040062903807,True
2022,SPARSE_RELIABILITY,126155,0.5097748432145859,0.24053757579351628,0.12262000498735633,0.5043350783289998,True
2022,INTERACTION_FAILURE,60499,0.2444680610331674,0.24399028701879383,0.059647832378410516,0.2453310470654654,True
2022,TEMPORAL_PRIOR_FAILURE,0,0.0,,0.0,0.0,True
2022,MODEL_FAMILY_RECOVERABLE,91141,0.36828812956617313,0.2432959850231023,0.08960302325511801,0.36853650231497537,True
2022,UNEXPLAINED_IRREDUCIBLE_LOOKING,48058,0.1941957069890735,0.24652518911830912,0.04787413339144509,0.19690591935954546,True
2023,CALIBRATION_LIKE,25686,0.10461663781692292,0.2864617832408705,0.02996866862570003,0.11875972759148502,True
2023,DISCRIMINATION_LIKE,35566,0.14485693921189288,0.3161154365581743,0.045791514577448435,0.18146244216387047,True
2023,SPARSE_RELIABILITY,112948,0.4600264738824967,0.25457111597277715,0.11710945283328879,0.46408090030874277,True
2023,INTERACTION_FAILURE,65152,0.2653579065268303,0.2526716468511282,0.06704841924710193,0.2656992242357083,True
2023,TEMPORAL_PRIOR_FAILURE,25686,0.10461663781692292,0.2864617832408705,0.02996866862570003,0.11875972759148502,True
2023,MODEL_FAMILY_RECOVERABLE,0,0.0,,0.0,0.0,True
2023,UNEXPLAINED_IRREDUCIBLE_LOOKING,47779,0.19459932797067508,0.2489577189796834,0.04844700480655858,0.19198560888074373,True
2024,CALIBRATION_LIKE,63840,0.2518273657137673,0.24842843601161213,0.06256107860919548,0.25261412233815045,True
2024,DISCRIMINATION_LIKE,38791,0.1530174709179628,0.3144989264052988,0.04812383032495334,0.19431824756456975,True
2024,SPARSE_RELIABILITY,124016,0.4892014816158923,0.2474911636021435,0.1210730439210098,0.48887841144763694,True
2024,INTERACTION_FAILURE,64134,0.25298709700323857,0.24790989257175075,0.06271800404011196,0.2532477683827005,True
2024,TEMPORAL_PRIOR_FAILURE,0,0.0,,0.0,0.0,True
2024,MODEL_FAMILY_RECOVERABLE,92409,0.36452247866922804,0.2476417606225364,0.09027098840413861,0.364503410351321,True
2024,UNEXPLAINED_IRREDUCIBLE_LOOKING,49769,0.19632199505339104,0.24724654712282954,0.04853993540121616,0.19599842989162333,True
