season,candidate_scope,candidate_count,band,rows,row_share,champion_brier,oracle_brier,oracle_bss_gain,prediction_std_mean,prediction_range_mean,state_entropy_bits_mean,high_entropy_share
2022,all_candidates,16,high_disagreement_top20,49495,0.200002424516713,0.2214771742014113,0.11749751917831583,41731.47751396191,0.0626288812662098,0.2852687239368412,0.9721518073120482,0.7604808566521871
2022,all_candidates,16,low_disagreement_bottom20,49495,0.200002424516713,0.24975109016420377,0.21794725522498587,12764.237603297815,0.016890696680073942,0.0662410128071967,0.9962679310489887,1.0
2022,all_candidates,16,all,247472,1.0,0.2431320172961793,0.1769342540765182,26567.990311780344,0.03663541092139444,0.15866753116185206,0.9911614334360763,0.9504226740803
2022,quality_filtered,6,high_disagreement_top20,49495,0.200002424516713,0.2394305183850813,0.22155028140353175,7176.102934503006,0.012417722718145716,0.03806946032740171,0.9870898021687327,0.9097888675623801
2022,quality_filtered,6,low_disagreement_bottom20,49495,0.200002424516713,0.2452520824864978,0.24166143803576262,1441.0790084195314,0.0024423816107634094,0.007338907646941565,0.9932005685836937,0.9709667643196283
2022,quality_filtered,6,all,247472,1.0,0.2431320172961793,0.23360157735197348,3824.9726847184693,0.0065087322107260015,0.019899196376055497,0.9911614334360763,0.9504226740803
2023,all_candidates,16,high_disagreement_top20,49105,0.2,0.26536258632849985,0.13454544899019732,52326.85531812089,0.06444276631631558,0.292894090838752,0.9704756517224732,0.726280419509215
2023,all_candidates,16,low_disagreement_bottom20,49105,0.2,0.24989543725608257,0.22184561083006485,11219.930652487064,0.01462420076307008,0.05807384943836897,0.9971833201975406,1.0
2023,all_candidates,16,all,245525,1.0,0.2523470643919594,0.18296025957909678,27754.722128186186,0.035211714454121905,0.1540221432963709,0.9916835236124539,0.9442582221769678
2023,quality_filtered,6,high_disagreement_top20,49105,0.2,0.25745452096788746,0.23801365981605993,7776.3445176192745,0.0130946785046527,0.04029133275555965,0.9853529978296939,0.878647795540169
2023,quality_filtered,6,low_disagreement_bottom20,49105,0.2,0.24975134694092765,0.2460326083020551,1487.4954664308827,0.002500883051854945,0.007531799778672486,0.9945107877400159,0.9729966398533754
2023,quality_filtered,6,all,245525,1.0,0.2523470643919594,0.24214356044927585,4081.401606931116,0.006836554070992454,0.020956023615952474,0.9916835236124539,0.9442582221769678
2024,all_candidates,16,high_disagreement_top20,50702,0.20000236679854994,0.2453564012003755,0.12592229003251623,47810.56823301793,0.06672869237644571,0.3020720223526524,0.9782081908543786,0.8502031478048203
2024,all_candidates,16,low_disagreement_bottom20,50702,0.20000236679854994,0.24936746952093503,0.21852300741848854,12347.320589903686,0.0161581122191871,0.06456622443726126,0.9976722411414141,1.0
2024,all_candidates,16,all,253507,1.0,0.24765471554060992,0.17778016529140953,27971.422232510886,0.03721714996164263,0.16346517053858456,0.993727296184452,0.9699140457659946
2024,quality_filtered,6,high_disagreement_top20,50702,0.20000236679854994,0.24762705169218843,0.2296706744233812,7188.102228361981,0.012109567531396494,0.03718331451968197,0.9903118306397785,0.9472210169224093
2024,quality_filtered,6,low_disagreement_bottom20,50702,0.20000236679854994,0.24724598145049614,0.24370444528292196,1417.7093540013107,0.0023940366704131096,0.007200938032240935,0.9953643204722832,0.9815983590390912
2024,quality_filtered,6,all,253507,1.0,0.24765471554060992,0.23808340407653852,3831.483613498849,0.006417053037178916,0.019624238636366875,0.993727296184452,0.9699140457659946
