season,k,candidate_brier,champion_brier,gain_vs_champion,corr_candidate_champion,corr_gap_champion_residual
2022,20.0,0.24724505821164486,0.24313201729617934,-0.004113040915465521,0.6270448612266698,-0.0005435075120727754
2022,100.0,0.24731470511700787,0.24313201729617934,-0.0041826878208285345,0.644240857468409,-0.0006078947497312919
2022,500.0,0.2477785736537431,0.24313201729617934,-0.0046465563575637525,0.61245990044611,-0.00021596556813135659
2023,20.0,0.2517905771960336,0.2523470643919594,0.0005564871959258255,0.6420813376517702,0.0889241500087279
2023,100.0,0.25146501498532703,0.2523470643919594,0.0008820494066323903,0.6535813938279273,0.09345111796302175
2023,500.0,0.25111946850733524,0.2523470643919594,0.0012275958846241775,0.6359776315727741,0.09863006313280948
2024,20.0,0.2517505635537214,0.24765471554060994,-0.004095848013111442,0.29620070395487325,-0.004453767360554554
2024,100.0,0.2514972672526732,0.24765471554060994,-0.0038425517120632413,0.3266773696931104,-0.004429611002746706
2024,500.0,0.2513207713636959,0.24765471554060994,-0.003666055823085962,0.3582976830613269,-0.004412774838603665
pooled,20.0,0.2502701132567563,0.2476987176782835,-0.0025713955784728015,0.5755998092569056,0.026615846329973644
pooled,100.0,0.2501001069497444,0.2476987176782835,-0.0024013892714608853,0.5924544165079457,0.028266317647302773
pooled,500.0,0.2500802962483778,0.2476987176782835,-0.0023815785700943004,0.5793103575577825,0.030477315231549344
