model,season,weight,champion_brier,candidate_brier,champion_bss,candidate_bss,delta_bss,two_sigma_bss,prediction_correlation,residual_correlation
auxiliary,2022,0.025,0.24313201729617934,0.24313027996137526,2420.734994109475,2421.4322607843287,0.6972666748265387,1.254171114330903,0.9999633739353073,0.999998704383503
auxiliary,2022,0.05,0.24313201729617934,0.24312982342020362,2420.734994109475,2421.6154902596877,0.8804961502074629,2.5083532205455206,0.999851856114622,0.9999948175302739
auxiliary,2022,0.1,0.24313201729617934,0.24313275271875723,2420.734994109475,2420.4398376121208,-0.2951564973671464,5.016779020782757,0.999394182739797,0.9999792703330103
auxiliary,2022,0.15,0.24313201729617934,0.24314080519184025,2420.734994109475,2417.208036166718,-3.5269579427242337,7.525334622819737,0.9986067762669846,0.9999533594511664
auxiliary,2023,0.025,0.2523470643919594,0.252315140247611,-938.8264952070901,-926.0568373743006,12.769657832776412,1.1731169459876452,0.9999548628698764,0.9999990293648174
auxiliary,2023,0.05,0.2523470643919594,0.2522842512102348,-938.8264952070901,-913.7012223334295,25.12527287362911,2.3460025791381596,0.9998180407883995,0.9999961169232103
auxiliary,2023,0.1,0.2523470643919594,0.25222557845639926,-938.8264952070901,-890.2321206275321,48.59437457956272,4.691102151374428,0.999260988296876,0.9999844635388377
auxiliary,2023,0.15,0.2523470643919594,0.25217104613045255,-938.8264952070901,-868.4191900892868,70.40730511780251,7.035343226927628,0.9983124682006594,0.9999650340198027
auxiliary,2024,0.025,0.24765471554060994,0.24765707171408907,861.5498553702694,860.6066575535754,-0.9431978167060746,1.3827785823370573,0.9998386024932117,0.9999985726273691
auxiliary,2024,0.05,0.24765471554060994,0.24766095885394437,861.5498553702694,859.0505998790521,-2.4992554912313003,2.7655731507955736,0.9993470975990592,0.9999942905425345
auxiliary,2024,0.1,0.24765471554060994,0.2476733260327834,861.5498553702694,854.0999049565401,-7.4499504137393044,5.531278916993147,0.9973324557211175,0.9999771627279432
auxiliary,2024,0.15,0.24765471554060994,0.24769181707712704,861.5498553702694,846.6977706027445,-14.852084767523678,8.297254631482746,0.9938809862607852,0.9999486182728977
auxiliary,pooled,0.025,0.2476987176782835,0.24768844203235318,911.1718553146742,915.282501196124,4.110645881457433,0.7355583335952721,0.9999427907139053,0.9999987614529708
auxiliary,pooled,0.05,0.2476987176782835,0.247679451330501,911.1718553146742,918.8791209892355,7.707265674499014,1.4710855638204805,0.9997689008469959,0.9999950455976478
auxiliary,pooled,0.1,0.2476987176782835,0.2476653247590322,911.1718553146742,924.5302823099988,13.358426995334463,2.942070910870405,0.9990576073158185,0.999980180897507
auxiliary,pooled,0.15,0.2476987176782835,0.24765633796387654,911.1718553146742,928.1253392771749,16.95348396250689,4.4130044385244895,0.9978395333676139,0.999955404322565
distillation,2022,0.025,0.24313201729617934,0.24313148364596196,2420.734994109475,2420.9491707389398,0.2141766294397916,0.7455666560698091,0.9999865119191425,0.9999995962742306
distillation,2022,0.05,0.24313201729617934,0.24313138975364498,2420.734994109475,2420.986853736773,0.25185962727588357,1.4911501297915566,0.9999457964978458,0.9999983851026929
distillation,2022,0.1,0.24313201729617934,0.24313252124271192,2420.734994109475,2420.5327388376218,-0.20225527186258252,2.98237435763721,0.9997811825214258,0.9999935404804432
distillation,2022,0.15,0.24313201729617934,0.24313541176338013,2420.734994109475,2419.372649412033,-1.3623446974157762,4.473686337568385,0.9995031735229957,0.9999854663081548
distillation,2023,0.025,0.2523470643919594,0.2523599319407363,-938.8264952070901,-943.9735147555028,-5.147019548397569,0.8185622344660308,0.9999815888771573,0.9999996427030664
distillation,2023,0.05,0.2523470643919594,0.2523733088035829,-938.8264952070901,-949.3242599332818,-10.497764726189047,1.6371403279822219,0.9999261543300553,0.9999985708531194
distillation,2023,0.1,0.2523470643919594,0.25240159047148547,-938.8264952070901,-960.636927177072,-21.810431969955133,3.274351368075353,0.999703047778669,0.9999942837576513
distillation,2023,0.15,0.2523470643919594,0.2524319093956669,-938.8264952070901,-972.764496938372,-33.93800173129619,4.911647671300635,0.999328449360896,0.9999871392864101
distillation,2024,0.025,0.24765471554060994,0.24765581853807933,861.5498553702694,861.1083153842958,-0.4415399859698182,0.794728088028909,0.9999568032099181,0.9999995402250744
distillation,2024,0.05,0.24765471554060994,0.2476574271173832,861.5498553702694,860.4643863608818,-1.0854690094011352,1.5894397881141127,0.9998253713944425,0.9999981609019185
distillation,2024,0.1,0.24765471554060994,0.24766216102149483,861.5498553702694,858.5693612016221,-2.9804941686491193,3.1788212670839124,0.9992866871928406,0.9999926436511175
distillation,2024,0.15,0.24765471554060994,0.2476689172529447,861.5498553702694,855.8647798925234,-5.685075477743344,4.768158922820831,0.9983616039437165,0.9999834484040627
distillation,pooled,0.025,0.2476987176782835,0.2477031474723719,911.1718553146742,909.3997706254297,-1.7720846893257693,0.45382427701564415,0.9999795899024256,0.9999995867597483
distillation,pooled,0.05,0.2476987176782835,0.24770806225467007,911.1718553146742,907.4336723626897,-3.738182951983663,0.9076515852560821,0.9999179806719881,0.9999983470610533
distillation,pooled,0.1,0.2476987176782835,0.24771934678389398,911.1718553146742,902.9194351173663,-8.252420197296436,1.8153194069441592,0.9996689214493587,0.9999933884452571
distillation,pooled,0.15,0.2476987176782835,0.2477325712659552,911.1718553146742,897.6291435787265,-13.54271173593756,2.7230116879381656,0.9992484182962645,0.9999851245278975
