season,rows,target_mean,target_variance,prediction_mean,prediction_std,brier,logloss,ece,unique_pitcher,new_pitcher_count,new_pitcher_row_share,pitcher_cold_start,pitcher_low_history,pitcher_history_median,unique_batter,new_batter_count,new_batter_row_share,batter_cold_start,batter_low_history,batter_history_median,unseen_matchup
2022,247472,0.5289204435249241,0.2491636079463216,0.5250737230967842,0.0779013620832075,0.24313201729617934,0.6790603579356164,0.004860287445033888,390,88,0.15739154328570504,0.00035559578457360834,0.03070246330898041,2518.0,403,88,0.11022661149544191,0.00035559578457360834,0.030653972974720372,3677.0,0.5085625848580849
2023,245525,0.49995723449750534,0.2499999981711118,0.5106073131883817,0.06826647998963482,0.2523470643919594,0.6983173194152196,0.02938122613883443,382,63,0.13798187557275227,0.0002565930149679259,0.024282659606964668,3073.0,397,71,0.09404744934324406,0.00028917625496385297,0.024681804296914776,4124.0,0.45897973729762753
2024,253507,0.4861049201797189,0.24980692675678806,0.4897167404896388,0.04466258673676395,0.24765471554060994,0.6884382440534285,0.004090726073325796,391,81,0.1986059556540845,0.00031951780424209193,0.031222017537977254,2942.0,424,88,0.09304674032669709,0.0003471304539914085,0.0264686971168449,4498.0,0.4884125487659118
