season,top_pct,feature,value,all_value
2022,1,target,0.0,0.5289204435249241
2022,1,prediction,0.7409980413955727,0.5250737230967842
2022,1,pitcher_history,1386.8864646464647,3194.707235566044
2022,1,batter_history,1006.4177777777778,3827.086636063878
2022,1,inning,4.951515151515151,4.98974833516519
2022,1,cold_pitcher,0.0,0.00035559578457360834
2022,1,cold_batter,0.0016161616161616162,0.00035559578457360834
2022,1,cur_p_succ,0.6541013055021245,0.5192331363323262
2022,1,cur_b_succ,0.6790205608817035,0.5230852682957979
2022,5,target,0.1815096169387425,0.5289204435249241
2022,5,prediction,0.6356275677782212,0.5250737230967842
2022,5,pitcher_history,1763.0546306772264,3194.707235566044
2022,5,batter_history,2187.9703410376596,3827.086636063878
2022,5,inning,4.853725553580087,4.98974833516519
2022,5,cold_pitcher,0.0013738483917892356,0.00035559578457360834
2022,5,cold_batter,0.0012930337805075157,0.00035559578457360834
2022,5,cur_p_succ,0.5708613436267398,0.5192331363323262
2022,5,cur_b_succ,0.603993017186268,0.5230852682957979
2022,10,target,0.3031760142233716,0.5289204435249241
2022,10,prediction,0.5729155376013501,0.5250737230967842
2022,10,pitcher_history,2476.6908841118475,3194.707235566044
2022,10,batter_history,3226.106917730726,3827.086636063878
2022,10,inning,4.935509940197187,4.98974833516519
2022,10,cold_pitcher,0.0006869241958946178,0.00035559578457360834
2022,10,cold_batter,0.0008081461128171974,0.00035559578457360834
2022,10,cur_p_succ,0.5421581290383634,0.5192331363323262
2022,10,cur_b_succ,0.5560748602055141,0.5230852682957979
2022,20,target,0.4002020406101626,0.5289204435249241
2022,20,prediction,0.5366708731341574,0.5250737230967842
2022,20,pitcher_history,2842.8785735932925,3194.707235566044
2022,20,batter_history,3646.764056975452,3827.086636063878
2022,20,inning,4.9867461359733305,4.98974833516519
2022,20,cold_pitcher,0.00038387715930902113,0.00035559578457360834
2022,20,cold_batter,0.0004444893423578139,0.00035559578457360834
2022,20,cur_p_succ,0.5226463262404114,0.5192331363323262
2022,20,cur_b_succ,0.5317144564807377,0.5230852682957979
2022,0,pitcher_cold,0.24624174814469993,0.24313201729617934
2022,0,pitcher_low_lt100,0.23632014407914784,0.24313201729617934
2022,0,batter_cold,0.21162193858701148,0.24313201729617934
2022,0,batter_low_lt100,0.22197930209696468,0.24313201729617934
2022,0,game_F,0.20641711337104868,0.24313201729617934
