season,team,rows,row_share,target_rate,prediction_mean,brier,calibration_error,share_23_minus_22,share_24_minus_23
2022,12,25163,0.1016801900821103,0.5205261693756706,0.5246456428012892,0.24467295145657714,-0.0041194734256185805,-0.0021587564195504755,0.0007243189202091049
2022,13,35983,0.14540230813991079,0.5759108467887614,0.5728357081351853,0.228642173953227,0.003075138653576115,-0.004549034542517455,0.006014465754971693
2022,14,24085,0.0973241417210836,0.5374714552626115,0.5285231009765838,0.24387450218115458,0.008948354286027693,-0.0005152627881847144,-0.00181741913099992
2022,15,22765,0.09199020495247948,0.5184713375796178,0.5084364166027916,0.24665872130687488,0.010034920976826234,0.0021427753957539014,-0.002214413997008363
2022,16,22697,0.0917154263916726,0.5147816892100278,0.5116948815793212,0.24556901744859527,0.0030868076307065673,0.00011636263184842954,0.0006982002864388548
2022,17,25005,0.10104173401435314,0.5212157568486303,0.5237710672728082,0.2437774748300548,-0.0025553104241778923,-0.002485578836672664,-0.0002590667343633224
2022,18,23092,0.0933115665610655,0.5318725099601593,0.5317065917311541,0.24516480056815212,0.00016591822900524633,-0.00027827056269466577,-0.0030594491223476794
2022,19,22838,0.09228518781922804,0.5006130133987214,0.4893556351104108,0.24849791261807247,0.011257378288310638,0.00019012019421255077,-0.0013377851836962468
2022,20,21199,0.08566221633154458,0.5157318741450069,0.5110836179270325,0.24781454938219752,0.004648256217974378,0.0008422129526423627,0.003197235758592945
2022,21,23979,0.09689581043511994,0.521247758455315,0.5148647861146959,0.2457656868759289,0.006382972340619131,0.004576544722196013,-0.002145709344774288
2022,23,666,0.002691213551432081,0.6906906906906907,0.7172578042603271,0.2147355820967766,-0.02656711356963648,0.002118887252966656,-0.0009522191679942199
2023,12,24435,0.09952143366255982,0.5185185185185185,0.51985110411605,0.24938593351936036,-0.001332585597531466,-0.0021587564195504755,0.0007243189202091049
2023,13,34583,0.14085327359739333,0.5214990024000231,0.5585571255539125,0.2646033162389954,-0.037058123153889344,-0.004549034542517455,0.006014465754971693
2023,14,23769,0.09680887893289888,0.480163237830788,0.5002656553866723,0.2516167373692235,-0.020102417555884322,-0.0005152627881847144,-0.00181741913099992
2023,15,23112,0.09413298034823338,0.5146244375216338,0.5097915759204928,0.25031696291604966,0.0048328616011409364,0.0021427753957539014,-0.002214413997008363
2023,16,22547,0.09183178902352103,0.4845877500332639,0.4884972033716866,0.24849935851627325,-0.0039094533384227415,0.00011636263184842954,0.0006982002864388548
2023,17,24198,0.09855615517768047,0.4805355814530127,0.4949324351181472,0.25226728909607166,-0.014396853665134546,-0.002485578836672664,-0.0002590667343633224
2023,18,22842,0.09303329599837083,0.5292443743980387,0.5259394112860707,0.24786862856724248,0.00330496311196804,-0.00027827056269466577,-0.0030594491223476794
2023,19,22705,0.09247530801344059,0.48161197974014536,0.4824661944634248,0.24974511184438167,-0.0008542147232794561,0.00019012019421255077,-0.0013377851836962468
2023,20,21239,0.08650442928418695,0.49672771787748954,0.4982945454735256,0.2496362734317377,-0.0015668275960360467,0.0008422129526423627,0.003197235758592945
2023,21,24914,0.10147235515731595,0.4816970378100666,0.4952643236196736,0.25218324377668117,-0.013567285809606977,0.004576544722196013,-0.002145709344774288
2023,23,1181,0.004810100804398737,0.5173581710414903,0.6722123671794411,0.2730840925576298,-0.15485419613795082,0.002118887252966656,-0.0009522191679942199
2024,12,25413,0.10024575258276892,0.47884940778341795,0.4805736008489298,0.2478072474543666,-0.0017241930655118587,-0.0021587564195504755,0.0007243189202091049
2024,13,37232,0.14686773935236502,0.5001074344649764,0.49643256031916055,0.24669982314708094,0.003674874145815854,-0.004549034542517455,0.006014465754971693
2024,14,24081,0.09499145980189896,0.4747311158174494,0.4815995509884959,0.24816992303182658,-0.006868435171046461,-0.0005152627881847144,-0.00181741913099992
2024,15,23302,0.09191856635122501,0.4995708522873573,0.4976018470825986,0.2475525522287815,0.0019690052047587336,0.0021427753957539014,-0.002214413997008363
2024,16,23457,0.09252998930995988,0.4726947179946285,0.48480475912707593,0.24726875570140935,-0.012110041132447458,0.00011636263184842954,0.0006982002864388548
2024,17,24919,0.09829708844331715,0.4820418154821622,0.4887994176684914,0.2475078417078272,-0.0067576021863292035,-0.002485578836672664,-0.0002590667343633224
2024,18,22809,0.08997384687602315,0.4979174887105967,0.5083389570239344,0.24789376810628005,-0.010421468313337678,-0.00027827056269466577,-0.0030594491223476794
2024,19,23104,0.09113752282974434,0.48273026315789475,0.4820526931508571,0.24800688323488387,0.0006775700070376645,0.00019012019421255077,-0.0013377851836962468
2024,20,22740,0.08970166504277989,0.4900175901495163,0.4917806383785003,0.24871979567078348,-0.0017630482289839877,0.0008422129526423627,0.003197235758592945
2024,21,25180,0.09932664581254166,0.4780381254964257,0.4840296907960851,0.24757303764453573,-0.005991565299659385,0.004576544722196013,-0.002145709344774288
2024,23,978,0.0038578816364045173,0.4652351738241309,0.4830094134551546,0.24735933966571103,-0.017774239631023703,0.002118887252966656,-0.0009522191679942199
2024,25,292,0.0011518419609714919,0.4246575342465753,0.4461011804260619,0.2438880698037054,-0.021443646179486575,,
