season,candidate,subgroup,n,brier_gain,correction_mean,correction_abs_mean
2022,role_state,all,247472,-6.391191322716471e-05,-0.0026211451784749753,0.008251224734010338
2022,role_state,pitcher_low_lt100,7598,-0.0001266952817546777,5.341238139048563e-05,0.01239176119302848
2022,role_state,batter_low_lt100,7586,-0.00015457030172017622,-0.0015333467369981345,0.008843506791810053
2022,role_state,game_F,30448,-0.00017161536244626044,0.00010359802054101551,0.011205772138975702
2022,role_state,same_hand,121860,-7.797969023510023e-05,-0.0025896249200869966,0.00857379205908907
2022,role_state,late_inning,81573,-5.758064959629866e-05,-0.0038177035568434945,0.008730891997011693
2022,role_state,top10_effective,24748,0.018295722841636098,-0.007992693976671043,0.01867162343758966
2022,role_state,large_abs_correction,24748,-0.00025371143089392845,-0.00972390722115608,0.023516202190036355
2022,hard_weight,all,247472,-0.020870991994089424,-0.04482397648840629,0.11916188635963078
2022,hard_weight,pitcher_low_lt100,7598,-0.025783469318990147,-0.09262372790912045,0.14962038274268608
2022,hard_weight,batter_low_lt100,7586,-0.04403985159795488,-0.1436267446870838,0.1763254393942771
2022,hard_weight,game_F,30448,-0.05770205424578702,-0.23209333261119275,0.23209333261119275
2022,hard_weight,same_hand,121860,-0.020019404996967118,-0.03263605544086009,0.11772541871844668
2022,hard_weight,late_inning,81573,-0.0202295767157077,-0.02499635840008528,0.11520302544356203
2022,hard_weight,top10_effective,24748,0.21958218533836893,-0.12111695627200852,0.2148885851760762
2022,hard_weight,large_abs_correction,24748,-0.0686454769343167,-0.19815791752534814,0.25507588359639966
2022,uncertainty,all,247472,-5.805247502434732e-05,-0.0025919274012574847,0.005565749680708052
2022,uncertainty,pitcher_low_lt100,7598,-0.0002666762010043993,0.00027123771773906324,0.007312732206882868
2022,uncertainty,batter_low_lt100,7586,-4.136322565668251e-05,1.812286155755182e-05,0.0065017179972192245
2022,uncertainty,game_F,30448,-0.00020362333076882428,0.003129397287613707,0.006929478669828117
2022,uncertainty,same_hand,121860,-4.383031979180001e-05,-0.002800358650893243,0.005559027359551389
2022,uncertainty,late_inning,81573,-4.0661733425074493e-05,-0.003149344370601479,0.006022596939897846
2022,uncertainty,top10_effective,24748,0.011841604346004815,-0.008566385013825182,0.012486972457071322
2022,uncertainty,large_abs_correction,24748,-0.00014639027990745538,-0.008450388347698784,0.015173611940859881
2022,lupi_aux,all,247472,-0.0009295256410531344,0.004083870232423069,0.02469658212138716
2022,lupi_aux,pitcher_low_lt100,7598,-0.002837517063278814,-0.006598552420021569,0.03389641483587865
2022,lupi_aux,batter_low_lt100,7586,-0.0016402115680936838,-0.0040138265773981335,0.028789429818979695
2022,lupi_aux,game_F,30448,-0.0027186161578665108,-0.038054008503853036,0.04181462109078395
2022,lupi_aux,same_hand,121860,-0.0008871723541684191,0.0011325337921307239,0.023523695287295518
2022,lupi_aux,late_inning,81573,-0.0010845848142311619,0.005106539229925211,0.025294358641795682
2022,lupi_aux,top10_effective,24748,0.05706101382264084,0.013855396471279775,0.053219503356194874
2022,lupi_aux,large_abs_correction,24748,-0.004994096012561122,0.00553367639767348,0.06937807712837789
2022,lupi_distill,all,247472,-0.0003216651535416919,0.0061413905898429115,0.01427023267728357
2022,lupi_distill,pitcher_low_lt100,7598,-0.0006859643836010297,0.006187834789468516,0.016146906849241634
2022,lupi_distill,batter_low_lt100,7586,-0.0006257616437313473,0.003986874963897701,0.0148293389681251
2022,lupi_distill,game_F,30448,-0.00016955976961869335,-0.0036497430338406447,0.015188311371971875
2022,lupi_distill,same_hand,121860,-0.000374212571693094,0.007066751335477095,0.015458745571562566
2022,lupi_distill,late_inning,81573,-0.00042495675316638455,0.007520114988662032,0.015118435050949073
2022,lupi_distill,top10_effective,24748,0.033664318761914676,0.018365615654939233,0.03189827086359532
2022,lupi_distill,large_abs_correction,24748,-0.0021040103958252935,0.027139541368836746,0.04118322873452655
2022,hierarchical_eb,all,247472,-0.004646556357563777,0.014471365546238709,0.052784144162030394
2022,hierarchical_eb,pitcher_low_lt100,7598,-0.007911081395645708,-0.024303162947373474,0.08649579154716545
2022,hierarchical_eb,batter_low_lt100,7586,-0.015229860882382141,-0.06261679790572995,0.09740345956552572
2022,hierarchical_eb,game_F,30448,-0.021777610894412443,-0.1406474631724936,0.1406474631724936
2022,hierarchical_eb,same_hand,121860,-0.004832225920084004,0.020289414846840173,0.055603887944082
2022,hierarchical_eb,late_inning,81573,-0.005439849950456169,0.0227072231383327,0.057815901137582955
2022,hierarchical_eb,top10_effective,24748,0.121408604552362,0.007136487207163591,0.1065794789540275
2022,hierarchical_eb,large_abs_correction,24748,-0.024257607818637984,-0.12729341765303412,0.15507655508757867
2023,role_state,all,245525,-0.0008123250615142128,-0.002173552820568514,0.008978611565521958
2023,role_state,pitcher_low_lt100,5962,-0.0029860228932088034,0.003979565961756539,0.015598333456186237
2023,role_state,batter_low_lt100,6060,-0.0036136090600851108,0.0065741896519082264,0.012828126792980524
2023,role_state,game_F,25686,-0.005770727130291512,0.012450667244431305,0.017210285107344563
2023,role_state,same_hand,121340,-0.00077841271085459,-0.00206839573780826,0.00930343433105454
2023,role_state,late_inning,80777,-0.0009582653570125225,-0.003057098902503217,0.009652355954890173
2023,role_state,top10_effective,24553,0.01870354385512219,-0.005968362414713427,0.020146354711301172
2023,role_state,large_abs_correction,24553,-0.00500642421207598,-0.0005470430362913172,0.02598933276190623
2023,hard_weight,all,245525,-0.009205555393536131,-0.01115683970824464,0.11424448631301877
2023,hard_weight,pitcher_low_lt100,5962,0.005846088131322711,-0.08366547133771263,0.15089442685791263
2023,hard_weight,batter_low_lt100,6060,0.01799661807491567,-0.13606390767570067,0.17647771806487605
2023,hard_weight,game_F,25686,0.0359526547269195,-0.22226507745212856,0.22226507745212856
2023,hard_weight,same_hand,121340,-0.01017053843138135,0.0011728297788278555,0.12075179729062903
2023,hard_weight,late_inning,80777,-0.008340484281399437,0.009717908269637913,0.1124161925573912
2023,hard_weight,top10_effective,24553,0.2312059892771996,-0.10229223901236828,0.22359495007318472
2023,hard_weight,large_abs_correction,24553,-0.014121607520863506,-0.1101981394829325,0.25038468484489523
2023,uncertainty,all,245525,-0.00026079905762934263,-0.0037848687587610686,0.005766752574650294
2023,uncertainty,pitcher_low_lt100,5962,-0.00012019036074501983,-0.0015395522761221616,0.006101414282589577
2023,uncertainty,batter_low_lt100,6060,-0.0008786180090775214,0.0001344493995005926,0.00647623733272125
2023,uncertainty,game_F,25686,-0.0009874135999661925,0.001934501603802878,0.006526488125909305
2023,uncertainty,same_hand,121340,-0.00012072320944815462,-0.004246596132120251,0.006004628127844393
2023,uncertainty,late_inning,80777,-0.00019368820783657376,-0.003626418001878899,0.005497852581307751
2023,uncertainty,top10_effective,24553,0.011943532836758277,-0.010423517209567962,0.012365086108171842
2023,uncertainty,large_abs_correction,24553,-0.0010771530174915952,-0.010771287777942467,0.014815317928277113
2023,lupi_aux,all,245525,0.00046958233559120507,0.006534815750067664,0.022055932685609438
2023,lupi_aux,pitcher_low_lt100,5962,0.0011194393015797352,0.0009834338791928788,0.03389523718989809
2023,lupi_aux,batter_low_lt100,6060,0.005207015479951723,-0.016589164497018635,0.03395448555612472
2023,lupi_aux,game_F,25686,0.006336982955909598,-0.01948651846167285,0.030780460148503275
2023,lupi_aux,same_hand,121340,0.00036574362428207766,0.003085592601967093,0.0214472359036999
2023,lupi_aux,late_inning,80777,0.0004314855113826972,0.008750092956009451,0.02358073019552956
2023,lupi_aux,top10_effective,24553,0.05395815648391587,0.01775796156179877,0.05116196375312017
2023,lupi_aux,large_abs_correction,24553,0.003538198894152845,0.02507883409573958,0.0627925147999094
2023,lupi_distill,all,245525,-0.0009119669254865451,0.01090772737816866,0.015552157061716339
2023,lupi_distill,pitcher_low_lt100,5962,-0.004567059880244558,0.01296430205932808,0.019284085522791816
2023,lupi_distill,batter_low_lt100,6060,-0.003582710783530668,0.010523091656182718,0.01629047792028772
2023,lupi_distill,game_F,25686,-0.006486174366311938,0.015269726986540416,0.018005118808690573
2023,lupi_distill,same_hand,121340,-0.0009881792377834802,0.0122545719210267,0.016944592264586528
2023,lupi_distill,late_inning,80777,-0.0008005155424864293,0.012805015652375233,0.016931958678298515
2023,lupi_distill,top10_effective,24553,0.035477845882496896,0.02963102989733435,0.03450623984618732
2023,lupi_distill,large_abs_correction,24553,-0.003448956819904974,0.040765234455315484,0.043649930569553325
2023,hierarchical_eb,all,245525,0.0012275958846241569,0.025223416293372474,0.05039428087847776
2023,hierarchical_eb,pitcher_low_lt100,5962,0.006030868249888551,-0.0075264106777889845,0.06633202930118416
2023,hierarchical_eb,batter_low_lt100,6060,0.01777069250521482,-0.0602588846282014,0.09020373081190493
2023,hierarchical_eb,game_F,25686,0.028368217711245865,-0.10552064441754173,0.105580422487825
2023,hierarchical_eb,same_hand,121340,0.0007312378323062503,0.030417656774125463,0.05532478427988741
2023,hierarchical_eb,late_inning,80777,0.0006985077739640857,0.03336306631177596,0.05569657269292697
2023,hierarchical_eb,top10_effective,24553,0.12074935743006816,-6.656759166935831e-05,0.1061813620727426
2023,hierarchical_eb,large_abs_correction,24553,0.014770244881859048,-0.026119965577349934,0.12713003641958426
2024,role_state,all,253507,-0.00012531881230448772,-0.0028110967276567538,0.008274377788700892
