season,subgroup,n,error,target_rate,prediction_mean,error_2023_excess
2022,game_F,30448,0.20641711337104868,0.7087493431424067,0.7031696324242259,0.0598065966330901
2024,game_F,30010,0.24689325984451227,0.45928023992002664,0.465484320808212,0.0598065966330901
2023,game_F,25686,0.28646178324087057,0.47290352721326795,0.6688032494553484,0.0598065966330901
2022,pitcher_team_23,666,0.2147355820967766,0.6906906906906907,0.7172578042603271,0.042036631676385966
2023,pitcher_team_23,1181,0.2730840925576298,0.5173581710414903,0.6722123671794411,0.042036631676385966
2024,pitcher_team_23,978,0.24735933966571103,0.4652351738241309,0.4830094134551546,0.042036631676385966
2024,batter_low_lt100,6710,0.24575844672048525,0.45424739195231,0.4759617901096691,0.039082255249855424
2022,batter_low_lt100,7586,0.22197930209696468,0.626021618771421,0.613161691159124,0.039082255249855424
2023,batter_low_lt100,6060,0.27295112965858037,0.4765676567656766,0.6093213421078566,0.039082255249855424
2024,pitcher_team_13,37232,0.24669982314708094,0.5001074344649764,0.49643256031916055,0.02693231768884144
2022,pitcher_team_13,35983,0.228642173953227,0.5759108467887614,0.5728357081351853,0.02693231768884144
2023,pitcher_team_13,34583,0.2646033162389954,0.5214990024000231,0.5585571255539125,0.02693231768884144
2024,pitcher_low_lt100,7915,0.2469578190597349,0.4578648136449779,0.4653678896918204,0.02114302901667009
2023,pitcher_low_lt100,5962,0.26278201058611145,0.46444146259644414,0.5552387195215901,0.02114302901667009
2022,pitcher_low_lt100,7598,0.23632014407914784,0.5627796788628586,0.5743911983263819,0.02114302901667009
2024,count_3_0,3214,0.245470293206214,0.4819539514623522,0.4675043650797562,0.01155607665815439
2023,count_3_0,2858,0.2561781196405343,0.48775367389783064,0.49075935611479266,0.01155607665815439
2022,count_3_0,2809,0.24377379275854574,0.5062299750800997,0.5116802923674658,0.01155607665815439
2022,count_3_1,5605,0.23977354089793332,0.5095450490633363,0.5103475905338575,0.010176954101186408
2024,count_3_1,6020,0.24491832111600997,0.4591362126245847,0.468135784218333,0.010176954101186408
2023,count_3_1,5807,0.25252288510815807,0.4802824177716549,0.48880340890926804,0.010176954101186408
2024,count_2_0,9392,0.24720070268451091,0.47327512776831343,0.48346629482801506,0.008110950192930205
2023,count_2_0,8774,0.251983567484034,0.49213585593799863,0.5068080422647472,0.008110950192930205
2022,count_2_0,8700,0.24054453189769667,0.5264367816091954,0.5245848144062085,0.008110950192930205
2023,count_1_1,25293,0.25278816748833344,0.5050804570434507,0.5135771267015086,0.007828057900217233
2024,count_1_1,25313,0.2473550137439348,0.4862323707186031,0.49410016883172597,0.007828057900217233
2022,count_1_1,25225,0.24256520543229762,0.5361744301288405,0.5282598802832754,0.007828057900217233
2024,count_1_0,26438,0.24733665447887554,0.4799152734700053,0.490963727144976,0.0074895005228419465
2022,count_1_0,25393,0.24261045106735052,0.5280195329421494,0.5279979242173864,0.0074895005228419465
2023,count_1_0,25591,0.252463053295955,0.49658082919776486,0.5122117490311184,0.0074895005228419465
2023,same_hand,121340,0.25269562474563734,0.4864430525795286,0.5045134850732622,0.007406766510412333
2024,same_hand,122902,0.24719233786491068,0.4703422238856976,0.4767161850518259,0.007406766510412333
2022,same_hand,121860,0.2433853786055393,0.5221237485639258,0.5185738679452183,0.007406766510412333
2022,count_0_0,64084,0.24305955428893397,0.5315991511141627,0.5285680240974353,0.007084526517108225
2023,count_0_0,63138,0.25246415785130116,0.5028508980328804,0.5147146285767753,0.007084526517108225
2024,count_0_0,65317,0.24769970837945193,0.4862899398318967,0.4928723741038567,0.007084526517108225
2024,late_inning,83196,0.24771884046108653,0.47832828501370256,0.4810315053595304,0.0069596093161322925
2022,late_inning,81573,0.2429369007808935,0.5204908486876785,0.5167464247303537,0.0069596093161322925
2023,late_inning,80777,0.2522874799371223,0.49559899476336083,0.5025509508692887,0.0069596093161322925
2023,count_0_1,30327,0.2522118128488636,0.5120519668941867,0.5165120468491228,0.006716948964158476
2024,count_0_1,31402,0.247739758453802,0.5010508884784408,0.49573948939730356,0.006716948964158476
2022,count_0_1,31161,0.24324996931560833,0.5402265652578544,0.5285334422446805,0.006716948964158476
2023,pitcher_team_17,24198,0.25226728909607166,0.4805355814530127,0.4949324351181472,0.006624630827130662
2022,pitcher_team_17,25005,0.2437774748300548,0.5212157568486303,0.5237710672728082,0.006624630827130662
2024,pitcher_team_17,24919,0.2475078417078272,0.4820418154821622,0.4887994176684914,0.006624630827130662
2023,count_2_1,13479,0.25071076018689853,0.49692113658283255,0.5071315117801464,0.006562275865287265
2024,count_2_1,13446,0.24698569766605577,0.47411869701026327,0.4869180079070925,0.006562275865287265
2022,count_2_1,13114,0.24131127097716676,0.5273753240811346,0.5254615811438391,0.006562275865287265
2024,count_2_2,20640,0.24810464942833713,0.49064922480620154,0.4871557960566926,0.006465587704609865
2022,count_2_2,20240,0.24306230604159304,0.5267786561264822,0.52175192122109,0.006465587704609865
2023,count_2_2,20380,0.25204906543957495,0.49730127576054955,0.5063568104215977,0.006465587704609865
