season,bss,brier,n,bss_R,bss_F
2022,1843.0827552821993,0.24457131645582406,247472,657.5764997077682,-5458.471756975802
2023,-1198.4992348144985,0.2529962462362288,245525,654.5378809126645,-17436.061768685217
2024,610.0465122442333,0.24828298831276369,253507,737.1084311556086,-668.7988510223341
