season,candidate,seed,champion_brier,candidate_brier,gain,target_mean,champion_mean,candidate_mean,candidate_logloss,champion_logloss,champion_ece,candidate_ece,prediction_corr,residual_corr,corr_gap_residual
2022,hard,42,0.24313201729617934,0.26396635288184295,-0.02083433558566361,0.5289204435249241,0.5250737230967842,0.4802775482701693,0.7217922508770253,0.6790603579356164,0.004860287445033888,0.11466196761846797,-0.40725108073921207,0.9652413469386312,-0.0046495275334578695
2022,uncertainty_0p5,42,0.24313201729617934,0.24319598335630846,-6.396606012912254e-05,0.5289204435249241,0.5250737230967842,0.5225112991298378,0.6791983950141678,0.6790603579356164,0.004860287445033888,0.008131962106001759,0.9964618407826042,0.9998958519060549,0.0018466379639871262
2022,uncertainty_1p0,42,0.24313201729617934,0.24322257043890738,-9.055314272804482e-05,0.5289204435249241,0.5250737230967842,0.5221278591436941,0.6792549416172783,0.6790603579356164,0.004860287445033888,0.00863759785228451,0.9960105576385452,0.9998831215897476,-0.0003188211659194701
2023,hard,42,0.2523470643919594,0.26157709438149307,-0.00923002998953365,0.49995723449750534,0.5106073131883817,0.4993421483655111,0.7169008070710925,0.6983173194152196,0.02938122613883443,0.0919524427182468,-0.6761288304814385,0.9637508402596345,0.06815954441017695
2023,uncertainty_0p5,42,0.2523470643919594,0.2525717979019337,-0.000224733509974262,0.49995723449750534,0.5106073131883817,0.5066143319460015,0.6987898474558539,0.6983173194152196,0.02938122613883443,0.03354417915049973,0.9960664491946136,0.9999166722649139,-0.03859789498842789
2023,uncertainty_1p0,42,0.2523470643919594,0.25258323710889136,-0.0002361727169319372,0.49995723449750534,0.5106073131883817,0.5067255614183279,0.6988183941496456,0.6983173194152196,0.02938122613883443,0.0335994197558345,0.9957098593479605,0.9999096898141273,-0.03802082481062063
2024,hard,42,0.24765471554060994,0.26765218279772385,-0.019997467257113904,0.4861049201797189,0.4897167404896388,0.49193844748090737,0.7315214921471682,0.6884382440534285,0.004090726073325796,0.1165780558227379,-0.2803135530930596,0.9609457632456704,0.003641465898605065
2024,uncertainty_0p5,42,0.24765471554060994,0.24767692881856848,-2.2213277958538225e-05,0.4861049201797189,0.4897167404896388,0.48618658296088246,0.688482897252697,0.6884382440534285,0.004090726073325796,0.0007703359119224426,0.9914112212757221,0.9999273268852577,0.0001248852732997033
2024,uncertainty_1p0,42,0.24765471554060994,0.24768421858805215,-2.9503047442203112e-05,0.4861049201797189,0.4897167404896388,0.48613072836034216,0.688497642900868,0.6884382440534285,0.004090726073325796,0.0005910036905610295,0.9909169508442153,0.9999232752421496,-0.0007402620741909527
2022,hard,43,0.24313201729617934,0.2640613040670263,-0.02092928677084699,0.5289204435249241,0.5250737230967842,0.48022194494658693,0.7219859336644445,0.6790603579356164,0.004860287445033888,0.1150128977328337,-0.4126827534817664,0.9650582194548218,-0.00456812888970486
2022,uncertainty_0p5,43,0.24313201729617934,0.2431985723142435,-6.65550180641572e-05,0.5289204435249241,0.5250737230967842,0.5224522922612159,0.6792053856897948,0.6790603579356164,0.004860287445033888,0.008275662065486961,0.9964536889138749,0.9998932474807024,0.0017448265504662569
2022,uncertainty_1p0,43,0.24313201729617934,0.24321864118030398,-8.66238841246425e-05,0.5289204435249241,0.5250737230967842,0.522652116383608,0.6792466975891409,0.6790603579356164,0.004860287445033888,0.008059697304652296,0.9959212662133509,0.9998797545044764,-0.0004840477306238012
2023,hard,43,0.2523470643919594,0.26154867733991743,-0.009201612947958016,0.49995723449750534,0.5106073131883817,0.4995587985947627,0.7168427903427541,0.6983173194152196,0.02938122613883443,0.09188830545531304,-0.6779204366513807,0.9637278077036926,0.0684210423593337
2023,uncertainty_0p5,43,0.2523470643919594,0.25265622076441147,-0.0003091563724520463,0.49995723449750534,0.5106073131883817,0.5070305569132395,0.6989845536885487,0.6983173194152196,0.02938122613883443,0.03378024593524772,0.9959319696637985,0.9999105458389631,-0.04840750975639838
2023,uncertainty_1p0,43,0.2523470643919594,0.2526309466601924,-0.00028388226823300444,0.49995723449750534,0.5106073131883817,0.5068465467906533,0.698923629569976,0.6983173194152196,0.02938122613883443,0.03363751442081338,0.9956998744645732,0.9999080478580219,-0.044262078521122634
2024,hard,43,0.24765471554060994,0.2677319405455089,-0.020077225004898974,0.4861049201797189,0.4897167404896388,0.4918878523867163,0.7317136617833603,0.6884382440534285,0.004090726073325796,0.11649112161991775,-0.2793659059993194,0.9607912528286111,0.0036710040683052346
2024,uncertainty_0p5,43,0.24765471554060994,0.24768973824892934,-3.50227083193988e-05,0.4861049201797189,0.4897167404896388,0.4863635624530268,0.6885086684578161,0.6884382440534285,0.004090726073325796,0.0012467546285264697,0.9913626181575179,0.999924948956178,-0.0017835691916343996
2024,uncertainty_1p0,43,0.24765471554060994,0.2476848250982556,-3.0109557645652263e-05,0.4861049201797189,0.4897167404896388,0.4861177539454378,0.6884991844474874,0.6884382440534285,0.004090726073325796,0.0008407114610543494,0.9910631414855574,0.9999236837370588,-0.0008744836086323385
