season,slice,parent_left,parent_right,rows,share,target_mean,prediction_mean,brier,global_brier,excess,calibration_error
2022,game_type=F & pitcher_history=0,game_type=F,pitcher_history=0,42,0.00016971616991013125,0.5952380952380952,0.6922371776698115,0.25247491215096335,0.24313201729617934,0.009342894854784012,-0.09699908243171629
2022,game_type=F & pitcher_history=101_500,game_type=F,pitcher_history=101_500,7716,0.03117928492920411,0.7069725246241576,0.6985059429745155,0.20664070241421037,0.24313201729617934,-0.03649131488196897,0.008466581649642091
2022,game_type=F & pitcher_history=1_20,game_type=F,pitcher_history=1_20,813,0.0032852201461175405,0.6654366543665436,0.6895874553266111,0.22266484784453214,0.24313201729617934,-0.0204671694516472,-0.024150800960067498
2022,game_type=F & pitcher_history=21_100,game_type=F,pitcher_history=21_100,2381,0.009621290489429108,0.6753464930701386,0.6924660194241974,0.22007874182018555,0.24313201729617934,-0.023053275475993784,-0.01711952635405878
2022,game_type=F & pitcher_history=500_plus,game_type=F,pitcher_history=500_plus,19496,0.0787806297278076,0.7155826836274107,0.7069125439664439,0.2038833943481655,0.24313201729617934,-0.039248622948013845,0.008670139660966858
2022,game_type=R & pitcher_history=0,game_type=R,pitcher_history=0,46,0.00018587961466347709,0.5,0.5170922756257881,0.24055059839985074,0.24313201729617934,-0.0025814188963285967,-0.017092275625788078
2022,game_type=R & pitcher_history=101_500,game_type=R,pitcher_history=101_500,16942,0.06846027025279627,0.49675363003187345,0.49300482662699935,0.24812398230803676,0.24313201729617934,0.004991965011857419,0.0037488034048741015
2022,game_type=R & pitcher_history=1_20,game_type=R,pitcher_history=1_20,897,0.003624652485937803,0.49944258639910816,0.4972732915710864,0.24980804381599556,0.24313201729617934,0.006676026519816219,0.0021692948280217506
2022,game_type=R & pitcher_history=21_100,game_type=R,pitcher_history=21_100,3490,0.01410260554729424,0.47793696275071634,0.48575311262644655,0.24674393206374207,0.24313201729617934,0.0036119147675627294,-0.007816149875730205
2022,game_type=R & pitcher_history=500_plus,game_type=R,pitcher_history=500_plus,195649,0.7905904506368397,0.504771299623305,0.5009651412026415,0.2483190935931379,0.24313201729617934,0.005187076296958554,0.0038061584206635635
2022,game_type=F & batter_history=0,game_type=F,batter_history=0,56,0.00022628822654684167,0.7678571428571429,0.7059121098934423,0.18444174988796266,0.24313201729617934,-0.05869026740821667,0.061945032963700575
2022,game_type=F & batter_history=101_500,game_type=F,batter_history=101_500,7772,0.03140557315575095,0.7183479155944416,0.7075958858999404,0.20279354031334562,0.24313201729617934,-0.040338476982833715,0.010752029694501175
2022,game_type=F & batter_history=1_20,game_type=F,batter_history=1_20,996,0.0040246977435831124,0.7580321285140562,0.7026970309998515,0.18655634690550668,0.24313201729617934,-0.056575670390672655,0.055335097514204734
