seed,season,weight,group,train_slice_rows,validation_slice_rows,champion_brier,candidate_brier,gain
42,2022,0.1,all,169450,59575,0.24313201729617934,0.2431244507344184,7.566561760929957e-06
42,2022,0.1,slice,169450,59575,0.2446615883773926,0.24463015720371087,3.143117368173409e-05
42,2022,0.1,outside,169450,59575,0.24264704841874501,0.24264704841874501,0.0
42,2022,0.1,R,169450,59575,0.24828303927859774,0.24827548948708314,7.5497915145994465e-06
42,2022,0.1,F,169450,59575,0.20641711337104868,0.2064094272761187,7.686094929987286e-06
42,2022,0.25,all,169450,59575,0.24313201729617934,0.24311784086075014,1.4176435429197332e-05
42,2022,0.25,slice,169450,59575,0.2446615883773926,0.24460270007141643,5.888830597616801e-05
42,2022,0.25,outside,169450,59575,0.24264704841874501,0.24264704841874501,0.0
42,2022,0.25,R,169450,59575,0.24828303927859774,0.2482681436419908,1.4895636606948592e-05
42,2022,0.25,F,169450,59575,0.20641711337104868,0.2064080631809033,9.050190145382109e-06
42,2022,0.5,all,169450,59575,0.24313201729617934,0.24311946432189765,1.2552974281682117e-05
42,2022,0.5,slice,169450,59575,0.2446615883773926,0.24460944385953406,5.21445178585378e-05
42,2022,0.5,outside,169450,59575,0.24264704841874501,0.24264704841874501,0.0
42,2022,0.5,R,169450,59575,0.24828303927859774,0.24826651081264894,1.65284659487952e-05
42,2022,0.5,F,169450,59575,0.20641711337104868,0.20643289648135654,-1.578311030786539e-05
42,2023,0.1,all,229025,58362,0.2523470643919594,0.25231833067168835,2.873372027106802e-05
42,2023,0.1,slice,229025,58362,0.25276444560208794,0.25264356477775785,0.00012088082433009406
42,2023,0.1,outside,229025,58362,0.25221691472463453,0.25221691472463453,0.0
42,2023,0.1,R,229025,58362,0.24836109889742417,0.24834714569110938,1.3953206314781808e-05
42,2023,0.1,F,229025,58362,0.28646178324087057,0.2863065474024168,0.0001552358384537822
42,2023,0.25,all,229025,58362,0.2523470643919594,0.2522799078490378,6.715654292160922e-05
42,2023,0.25,slice,229025,58362,0.25276444560208794,0.2524819225528298,0.0002825230492581321
42,2023,0.25,outside,229025,58362,0.25221691472463453,0.25221691472463453,0.0
42,2023,0.25,R,229025,58362,0.24836109889742417,0.24833066037209198,3.043852533218816e-05
42,2023,0.25,F,229025,58362,0.28646178324087057,0.28608036786945024,0.000381415371420335
42,2023,0.5,all,229025,58362,0.2523470643919594,0.25222834383197024,0.00011872055998918274
42,2023,0.5,slice,229025,58362,0.25276444560208794,0.25226499620879533,0.0004994493932926058
42,2023,0.5,outside,229025,58362,0.25221691472463453,0.25221691472463453,0.0
42,2023,0.5,R,229025,58362,0.24836109889742417,0.24831503681494219,4.606208248197907e-05
42,2023,0.5,F,229025,58362,0.28646178324087057,0.2857211999137435,0.0007405833271270645
42,2024,0.1,all,287387,61194,0.24765471554060994,0.24765038432472855,4.331215881392403e-06
42,2024,0.1,slice,287387,61194,0.2486289835699724,0.2486110407398839,1.7942830088490958e-05
42,2024,0.1,outside,287387,61194,0.24734470343644216,0.24734470343644216,0.0
42,2024,0.1,R,287387,61194,0.24775695980089035,0.2477549475057869,2.0122951034651226e-06
42,2024,0.1,F,287387,61194,0.24689325984451227,0.24687165865738472,2.1601187127545662e-05
42,2024,0.25,all,287387,61194,0.24765471554060994,0.2476488601311772,5.855409432736769e-06
42,2024,0.25,slice,287387,61194,0.2486289835699724,0.24860472649772564,2.4257072246763878e-05
42,2024,0.25,outside,287387,61194,0.24734470343644216,0.24734470343644216,0.0
42,2024,0.25,R,287387,61194,0.24775695980089035,0.24775691658231874,4.321857161038167e-08
42,2024,0.25,F,287387,61194,0.24689325984451227,0.24684411862298714,4.9141221525134116e-05
42,2024,0.5,all,287387,61194,0.24765471554060994,0.24765958015597986,-4.864615369915004e-06
42,2024,0.5,slice,287387,61194,0.2486289835699724,0.24864913610206046,-2.0152532088063557e-05
42,2024,0.5,outside,287387,61194,0.24734470343644216,0.24734470343644216,0.0
42,2024,0.5,R,287387,61194,0.24775695980089035,0.24777349842770394,-1.6538626813583646e-05
42,2024,0.5,F,287387,61194,0.24689325984451227,0.24681118322244072,8.207662207154742e-05
43,2022,0.1,all,169450,59575,0.24313201729617934,0.24312439789307913,7.619403100206368e-06
43,2022,0.1,slice,169450,59575,0.2446615883773926,0.24462993770304955,3.16506743430478e-05
43,2022,0.1,outside,169450,59575,0.24264704841874501,0.24264704841874501,0.0
43,2022,0.1,R,169450,59575,0.24828303927859774,0.24827549202766833,7.547250929412774e-06
43,2022,0.1,F,169450,59575,0.20641711337104868,0.20640897968941788,8.13368163080086e-06
43,2022,0.25,all,169450,59575,0.24313201729617934,0.24311772897581865,1.4288320360683615e-05
43,2022,0.25,slice,169450,59575,0.2446615883773926,0.24460223530619993,5.9353071192674856e-05
43,2022,0.25,outside,169450,59575,0.24264704841874501,0.24264704841874501,0.0
43,2022,0.25,R,169450,59575,0.24828303927859774,0.24826817001043489,1.4869268162853722e-05
43,2022,0.25,F,169450,59575,0.20641711337104868,0.20640696586833854,1.0147502710139422e-05
43,2022,0.5,all,169450,59575,0.24313201729617934,0.2431193079467564,1.2709349422934668e-05
43,2022,0.5,slice,169450,59575,0.2446615883773926,0.2446087942838904,5.279409350220088e-05
43,2022,0.5,outside,169450,59575,0.24264704841874501,0.24264704841874501,0.0
43,2022,0.5,R,169450,59575,0.24828303927859774,0.24826663027280688,1.6409005790862796e-05
43,2022,0.5,F,169450,59575,0.20641711337104868,0.20643077403685162,-1.3660665802939231e-05
43,2023,0.1,all,229025,58362,0.2523470643919594,0.25232447912485206,2.2585267107355644e-05
43,2023,0.1,slice,229025,58362,0.25276444560208794,0.25266943090576954,9.501469631839621e-05
43,2023,0.1,outside,229025,58362,0.25221691472463453,0.25221691472463453,0.0
43,2023,0.1,R,229025,58362,0.24836109889742417,0.24835020943394145,1.0889463482710582e-05
43,2023,0.1,F,229025,58362,0.28646178324087057,0.286339096993734,0.00012268624713657195
43,2023,0.25,all,229025,58362,0.2523470643919594,0.25229542777092245,5.1636621036965646e-05
43,2023,0.25,slice,229025,58362,0.25276444560208794,0.25254721381804907,0.00021723178403887378
43,2023,0.25,outside,229025,58362,0.25221691472463453,0.25221691472463453,0.0
