slice,season,reps,excess,ci_lower,ci_upper,stable
count_family=two_strike,2022,500,0.0015295710812132657,0.0008997447272037863,0.002140556061795581,True
count_family=two_strike,2024,500,0.0009742680293624573,0.0006061260123175483,0.0013355072758713523,True
count_family=pitcher_ahead,2022,500,0.0001179520194289907,-0.0008190610847747436,0.0010085032468336531,False
count_family=pitcher_ahead,2024,500,8.504291319205715e-05,-0.0004382321141330553,0.000606540755786735,False
