slice,share_2022,share_2023,share_2024,excess_2022,excess_2023,excess_2024,calibration_error_2022,calibration_error_2023,calibration_error_2024,brier_2022,brier_2023,brier_2024,rows_2022,rows_2023,rows_2024,common_score,same_direction,parent_left,parent_right,parent_best_common,improves_parent,error_type
count_family=two_strike,0.2407343052951445,0.23770288158028713,0.2413897841085256,0.0015295710812132657,0.00041738121012852014,0.0009742680293624573,0.003927639634615621,-0.008867877398106683,0.003684485670316817,0.2446615883773926,0.25276444560208794,0.2486289835699724,59575.0,58362.0,61194.0,0.0009742680293624573,True,,,,,DISCRIMINATION
count_family=pitcher_ahead,0.12591727548975237,0.12351898991956013,0.12387034677543421,0.0001179520194289907,-0.00013525154309579346,8.504291319205715e-05,0.011693123013173934,-0.004460079954936025,0.005311399081137258,0.24324996931560833,0.2522118128488636,0.247739758453802,31161.0,30327.0,31402.0,8.504291319205715e-05,True,,,,,CALIBRATION
