season,slice,axis,rows,share,target_mean,prediction_mean,brier,global_brier,excess,calibration_error
2022,game_type=F,game_type,30448,0.12303614146246848,0.7087493431424067,0.7031696324242259,0.20641711337104868,0.24313201729617934,-0.03671490392513066,0.005579710718180753
2022,game_type=R,game_type,217024,0.8769638585375316,0.5036908360365674,0.5000872504154128,0.24828303927859774,0.24313201729617934,0.005151021982418402,0.0036035856211545925
2022,pitcher_history=0,pitcher_history,88,0.00035559578457360834,0.5454545454545454,0.6006841606922537,0.24624174814469993,0.24313201729617934,0.003109730848520592,-0.05522961523770831
2022,pitcher_history=101_500,pitcher_history,24658,0.09963955518200039,0.5625354854408305,0.5573103913012403,0.23514300300473706,0.24313201729617934,-0.007989014291442276,0.0052250941395902695
2022,pitcher_history=1_20,pitcher_history,1710,0.006909872632055344,0.5783625730994152,0.5887068676723972,0.23690312081903664,0.24313201729617934,-0.006228896477142698,-0.010344294572982027
2022,pitcher_history=21_100,pitcher_history,5871,0.023723896036723348,0.5579969340827797,0.569586093564182,0.2359297917179904,0.24313201729617934,-0.007202225578188948,-0.011589159481402267
2022,pitcher_history=500_plus,pitcher_history,215145,0.8693710803646473,0.523874596202561,0.5196276737471258,0.2442924213837908,0.24313201729617934,0.0011604040876114496,0.004246922455435231
2022,batter_history=0,batter_history,88,0.00035559578457360834,0.6590909090909091,0.6441217439012212,0.21162193858701148,0.24313201729617934,-0.03151007870916786,0.014969165189687827
2022,batter_history=101_500,batter_history,22582,0.0912507273550139,0.581790806837304,0.5724160095231909,0.23284371090953573,0.24313201729617934,-0.010288306386643603,0.00937479731411306
2022,batter_history=1_20,batter_history,1676,0.006772483351651904,0.6437947494033412,0.6212952840836177,0.21044248719663905,0.24313201729617934,-0.03268953009954029,0.022499465319723577
2022,batter_history=21_100,batter_history,5888,0.023792590676925067,0.6207540760869565,0.6102239238830379,0.22525081306890576,0.24313201729617934,-0.017881204227273573,0.010530152203918619
