slice,share_2022,share_2023,share_2024,excess_2022,excess_2023,excess_2024,calibration_error_2022,calibration_error_2023,calibration_error_2024,brier_2022,brier_2023,brier_2024,rows_2022,rows_2023,rows_2024,common_score,same_direction
count_family=two_strike,0.2407343052951445,0.23770288158028713,0.2413897841085256,0.0015295710812132657,0.00041738121012852014,0.0009742680293624573,0.003927639634615621,-0.008867877398106683,0.003684485670316817,0.2446615883773926,0.25276444560208794,0.2486289835699724,59575.0,58362.0,61194.0,0.0009742680293624573,True
base_state_coarse=empty,0.533280532747139,0.5236533957845433,0.5192479892073986,0.0002659793276496014,-0.00021467610986414254,0.0001699142099103046,0.0017198163579562609,-0.010390342350289128,-0.005621077600613422,0.24339799662382894,0.2521323882820953,0.24782462975052025,131972.0,128570.0,131633.0,0.0001699142099103046,False
matchup_novelty=established,0.42315090192021726,0.4703879442012015,0.44104502045308414,0.003310834878461455,-0.002395678154728187,0.00011151554761995586,0.005645484511230148,0.0016644941654057055,-0.0024955637894944482,0.2464428521746408,0.24995138623723123,0.2477662310882299,104718.0,115492.0,111808.0,0.00011151554761995586,False
game_type=R,0.8769638585375316,0.8953833621830771,0.8816206258604299,0.005151021982418402,-0.003985965494535254,0.00010224426028040967,0.0036035856211545925,0.010994499133150704,-0.003263745212922109,0.24828303927859774,0.24836109889742417,0.24775695980089035,217024.0,219839.0,223497.0,0.00010224426028040967,False
count_family=pitcher_ahead,0.12591727548975237,0.12351898991956013,0.12387034677543421,0.0001179520194289907,-0.00013525154309579346,8.504291319205715e-05,0.011693123013173934,-0.004460079954936025,0.005311399081137258,0.24324996931560833,0.2522118128488636,0.247739758453802,31161.0,30327.0,31402.0,8.504291319205715e-05,True
batter_state_available=yes,0.8897733885045581,0.905952550656756,0.9069532596733029,0.0005459050305632596,-0.0005894566538843238,8.45894299153771e-05,0.002825244167013352,-0.007775694058483773,-0.002917881767445618,0.2436779223267426,0.2517576077380751,0.24773930497052532,220194.0,222434.0,229919.0,8.45894299153771e-05,False
pitcher_history=500_plus,0.8693710803646473,0.8944017920781998,0.873415724220633,0.0011604040876114496,-0.0008968259934885592,7.865661325401341e-05,0.004246922455435231,-0.004676756976786711,-0.003104089263812726,0.2442924213837908,0.25145023839847086,0.24773337215386396,215145.0,219598.0,221417.0,7.865661325401341e-05,False
batter_history=500_plus,0.8778286028318355,0.9013012931473373,0.9050558761690999,0.0018190906042525046,-0.0014705076507027792,5.501236325503034e-05,0.002942514653311412,-0.00193661123911959,-0.0030308362466134886,0.24495110790043184,0.25087655674125664,0.24770972790386497,217238.0,221292.0,229438.0,5.501236325503034e-05,False
pitcher_state_available=yes,0.842608456714295,0.8620181244272478,0.8013940443459155,0.00014280339990022095,-8.340154910119191e-05,4.338088410743568e-05,0.004565652116740315,-0.010464022442680299,-0.0031155887404447635,0.24327482069607956,0.2522636628428582,0.24769809642471738,208522.0,211647.0,203159.0,4.338088410743568e-05,False
